ID,Title,Detail,Status,Priority,Deadline
<Task's number>: <FNNN>,<Task's name>: <unaccented name>,<Task's content>:<unaccented content>,<Progress rate(%)>: <0~100>,<How important?>:< 1(least important)~5(most impportant)>,<DD/MM/YY>
F001,nau an,nau bua toi,100,3,05/01/25
F002,hoc,lam bai tap,50,5,05/01/25
F003,the duc,chay bo,0,2,05/02/25
F004,lam them,day hoc,0,5,05/02/25
F005,src,sinh hoat clb,0,5,05/02/25
F006,Nau an,My tom,70,3,02/02/25
F007,Hoc,Hoc tieng Anh,60,5,03/02/25
F008,Tap the duc,Chay bo 30 phut,50,4,04/02/25
F009,Lam bai tap,Giai toan trang 5,80,2,05/02/25
F010,Doc sach,Het chuong 1,40,3,06/02/25
F011,Hoat dong the thao,Chay bo 3km,100,2,05/04/25
F012,Hoc ngon ngu moi,Hoc tieng Anh,100,4,05/04/25
F013,Nau nuong,Cam com,100,4,05/04/25
F014,Don dep nha cua,Rua bat,100,2,05/04/25
F015,Viet ban Draft do an tot nghiep,Dua tren khung do an them noi dung chi tiet cho tung phan,70,5,05/06/25
